空间环境特征_Place_Name,空间环境特征_Spatial_Features_Natural
长江大桥; 大桥南堡公园; 玻璃栈道,
中山码头; 浦口码头,
鼓楼滨江; 天妃宫十二中; 鼓楼滨江风光带,
鱼嘴; 下关; 五马渡; 浦口码头; 桥北浦口站; 明发滨江新城; 北外滩水城,长江; 江岸
7-11江边路店,江边; 天气
渡江胜利纪念馆; 树人; 金陵湾; 惠民河; 金陵船厂; 民国海军医院旧址; 七里洲; 青沙洲; 燕子矶; 八卦洲; 草鞋峡,长江; 秦淮河; 夹江; 洲地; 流沙; 青沙; 江岸线
长江大桥玻璃栈道; 南堡公园,
长江大桥,日落
长江大桥,长江
,
,
101明潮里; 阅江楼景区,银杏树; 山体; 秋叶景观
南京长江大桥,长江; 江豚; 太阳; 江面
浦口火车站,
玻璃栈道; 长江大桥; 大桥南堡公园,长江; 江面
中山码头; 长江大桥; 幕燕滨江樱花大道; 夫子庙秦淮河; 总统府; 玄武湖,长江; 落日; 樱花; 江风; 山水画卷
中山码头,长江; 江面; 天空; 雨; 阳光
扬子江生态公园; 浦口火车站旧址; MEET YOU咖啡（江景店）,长江; 江风; 晚霞; 梧桐树; 夏天气息
下关火车主题公园; 中山码头; 浦口码头; 浦口火车站,落日
浦云路大桥; 浦口火车站历史风貌区; 老山国家森林公园; 佛手湖郊野公园; 下关滨江,落日; 长江（滨江）; 山林; 湖泊
红云桥; 下关火车主题公园; 江豚观赏地; 夕Space落日餐厅,长江; 落日; 云层; 江面
中山码头; 浦口码头,
南京; 浦口火车站,
南京长江大桥; 武汉长江大桥,长江
长江; 中山码头; 长江大桥玻璃栈道; 幕燕滨江风景区; 阅江楼,长江; 江北新区
下关火车主题公园,滨江风光
紫金山; 音乐台; 中山陵; 明孝陵; 美龄宫; 灵谷寺; 南京博物院民国馆; 总统府; 夫子庙; 鸡鸣寺; 玄武湖; 颐和路; 遇难同胞纪念馆; 浦口火车站旧址; 下关火车主题园,萤火虫; 日落; 雨花石; 梧桐树; 紫金山; 玄武湖
,落日; 夜景
中山码头; 江豚观赏地; 下关火车主题公园,长江; 日落; 开阔地; 风
中山码头; 浦口码头; 南京西站,
,
长江大桥,长江
下关火车主题公园; 浦口火车站,长江; 日落
玻璃栈道; 长江大桥,风
民国海军医院旧址,长江; 阴天; 薄雾
鼓楼滨江; 火车头主题公园; 长江大桥; 映虹桥,晚霞; 江风; 落日; 天气
浦口火车站,
中山码头; 浦口码头,长江; 江风; 落日
长江大桥,
鱼嘴公园; 江豚观测站; 中山码头; 幕府山风景区; 五马渡码头; 天保街; 奥体中心; 浦头火车站; 海贝皇海鲜馆,长江; 江豚; 江猪
南京长江沿线; 江豚观赏地,长江; 江面; 天空; 风; 落日
中山码头; 江边路总站,
中山码头; 浦口码头,长江; 江风; 江面; 落日（橘子海）
梧桐大道; 明孝陵; 长生鹿苑; 音乐台; 灵谷寺路; 夫子庙; 老门东; 红山动物园; 颐和路; 先锋书店; 青岛路; 新街口,梧桐树; 鹿苑动物
民国海军医院旧址; 中山码头,长江; 江边
下关火车主题公园; 江边,长江; 芦苇荡
无法判断,无法判断
下关火车主题公园,江面; 落日
长江大桥,长江
中山码头; 浦口码头; 浦口火车站; 国民首都电厂旧址; 江豚观赏地; 下关历史陈列馆; 铁路轮渡栈桥旧址; 下关火车主题公园; 长江大桥玻璃栈道,长江; 日落; 晚霞
浦口火车站,
浦口火车站; 浦口码头; 中山码头; 民国首都电厂旧址; 民国海军医院旧址; 南京招商局旧址; 铁路栈桥旧址; 下关火车主题公园,长江; 江面; 落日; 大桥倒影
下关火车主题公园,
铁路轮渡旧址; 大马路; 下关滨江,长江
长江大桥; 下关火车主题公园; 南堡公园,长江
,
杭州九堡大桥,绣球花; 晴天
中山码头; 浦口码头; 浦口火车站,长江; 落日; 波光粼粼的江面; 江风
长江大桥; 玻璃栈道; 大桥南堡公园; 黄河边,江风; 长江; 黄河
大桥南堡公园; 玻璃栈道; 下关火车主题公园; 铁路轮渡旧址; 民国海军医院旧址; 中山码头; 民国首都电厂旧址公园; 夕Space落日餐厅; 浦口火车站; 大马路,长江; 江风; 落日; 候鸟; 汤面; 梧桐树
下关火车主题公园; 铁路轮渡旧址,
,
,
,
蕪裕第二輪渡棧橋; 靠船墩架; 第一輪渡棧橋; 輪渡所大院; 外廊式宿舍; 行政樓; 假山水池; 倉庫; 維修車間; 水塔; 船員學校,
中山码头; 浦口码头,江风; 晚霞
下关火车主题公园,芦苇; 沙滩; 碎石; 江水; 夕阳; 风
南京长江大桥,
夕Space落日餐厅,长江; 江面
浦口火车站,
大桥公园; 望江亭; 下关火车主题园; 铁路轮渡栈桥旧址; 民国首都电厂旧址公园; 中山码头; 浦口码头; 宝塔桥; 好好便利店; 民国海军医院旧址; 梧桐大道,长江; 日落; 秋景; 梧桐树
浦口码头; 中山码头; 津浦路别墅群; 大马路牌坊; 《背影》雕塑; 绿皮火车废墟; 百年月台雨廊,长江; 晨雾; 日落; 梧桐树
下关火车主题公园,
下关火车主题园; 中山码头; 长江大桥,长江; 日落
浦口码头; 中山码头; 长江大桥; 玻璃栈道,长江; 江面; 江风; 太阳
,
长江大桥,长江; 夜晚江风
下关火车主题公园; 中山码头,长江; 日落; 江风; 阳光
铁路轮渡旧址,
中山码头; 浦口码头,
南京江边; 江豚观赏地,长江; 江面
长江大桥; 中山码头; 浦口火车站,长江; 江面; 落日; 天空; 江风
中山码头,长江; 日落
民国首都电厂旧址公园,
,太阳; 落日
浦口火车站,
老下关码头; 民国发电厂旧址; 塔吊; 101明潮里; 新门西,长江; 日落; 波光
民国海军医院旧址,
中山码头; 浦口大马路,
下关滨江,
中山码头,落日
浦口火车站; 南京北站; 南京长江大桥; 南京站,
,
下关火车主题公园; 中山浦口码头,
下关火车主题公园; 铁路轮渡栈桥旧址; 揽江台; 民国海军医院旧址; 中山码头,长江; 日落; 江面; 礁石; 波光粼粼
长江大桥; 大桥南堡公园,长江; 绿地; 水体
夕Space落日餐厅,
中山码头; 浦口码头旧址; 扬子江生态公园; 江畔云餐厅,长江; 江面; 风
中山码头; 浦口码头; 下关火车主题公园; 浦口火车站,长江; 日落; 风
下关西火车主题园; 南京西站; 南京长江大桥; 民国海军医院旧址; 阅江楼; 大观天地; 天妃宫; 大马路; 南京下关历史博物馆; 民国首都电厂旧址; 中山码头; 浦口码头; 浦口火车站旧址,长江; 山体; 夕阳
大马路; 招商局旧址; 中国银行南京分行旧址; 江苏邮政管理局旧址; 下关天主堂; 天保里住宅群; 天祥里8号,
下关西火车公园; 南京长江大桥; 玻璃栈道; 乌衣巷; 夫子庙; 明孝陵; 长生鹿苑; 石像路神道; 南京农业大学中山陵景区亚朵酒店,长江; 小山坡; 湖; 鸳鸯; 天鹅; 花卉景观
长江大桥,太阳; 长江
浦口火车站,长江; 橘子海; 春风
下关火车主题公园; 铁路轮渡栈桥旧址; 中山码头; 浦口火车站,
热河路; 中山北路; 挹江门; 盐仓桥; 南京火车西站; 秋林龙虾; 纪念碑; 中山码头,
浦口大马路; 浦口火车站; 中山码头; 浦口码头,滨江区域
长江大桥; 玻璃栈道; 大桥南堡公园,长江; 江风
浦口火车站,
红云桥; 渡江纪念馆; 南京潮水位站台; 中山码头; 绿博园,长江; 江面; 夕阳; 黑尾鸢; 白鹭; 夜鹭; 江豚
南京浦口火车站,
浦口火车站,
渡江胜利纪念馆; 长江微笑驿站; 江豚观赏地; 中山码头; 民国首都电厂旧址公园; 江豚书屋; 下关火车主题公园; 静海寺; 天妃宫; 阅江楼; 下关历史陈列馆,长江; 江豚
中山门卫桥,
下关火车主题公园; 南京西站; 江边路,无法判断
南堡公园; 玻璃栈桥,
下关滨江; 民国首都电厂旧址公园,月亮
中山码头; 浦口码头,长江; 落日; 夕阳; 天空
宝船厂遗址景区; 渡江胜利纪念馆; 南京下关历史陈列馆; 阅江楼风景区; 中山北路; 颐和路历史文化街区; 石头城遗址公园; 长江传奇系列游轮; 五马渡广场; 大桥公园; 下关主题火车园; 铁路轮渡栈桥旧址; 民国首都电厂旧址公园; 南京大学; 南京师范大学; 河海大学; 南京艺术学院; 静海寺; 宁海路街道海洋国防教育馆; 绣球公园; 八字山公园; 小桃园; 古林公园; 南艺后街; 鼓楼水岸; 清凉山国防园景区; 乌龙潭景区,长江; 山体; 水体; 植被
滨江风光带,风
颐和路; 先锋书店（颐和路店）; 心形梧桐树; 颐和数字展厅; 宁海路转盘; 颐和公馆十二片区; 云南路地铁站; 西桥; 金银街; 青岛路; 天竺路; NO. OZ咖啡（莫干路）; 星巴克非遗概念店; 十二咖啡,梧桐树; 梧桐落叶; 蔷薇花墙
长江大桥; 玻璃栈道,长江; 天空; 晚霞
下关火车主题公园; 中山码头; 浦口码头; 轮渡栈桥旧址; 宝塔桥; 挹江门,
南京长江大桥; 中山码头; 五马渡; 江豚观赏地,长江; 江豚
浦口火车站,
101明潮里; 阅江楼景区,银杏树; 山体景观; 秋叶
铁路桥; 惠民河; 龙江桥; 惠民桥; 中山桥; 大马路; 江口车站; 二粮仓库; 下关电厂,惠民河
中山码头; 浦口码头,长江
中山码头; 浦口码头; 浦口火车站; 民国首都电厂旧址公园; 滨江风光带,
,
中山码头,
京艺术中心; 中山码头,长江; 江风; 落日; 灯光; 汽笛声
大桥公园; 下关火车主题公园; 中山码头; 浦口码头; 南京滨江公园; 鱼嘴湿地公园; 三桥湿地公园,长江; 江风; 湿地; 公园植被
无法判断,海洋/水域
幕府滨江; 下关,自然风光
浦口火车站; 浦口码头; 大马路牌坊; 下关火车主题公园; 津浦路4号建筑,梧桐树; 青砖黛瓦
中山码头; 浦口码头,
中山码头; 下关火车主题公园,江面
长江大桥,阳光; 城市天际线
下关火车主题公园; 铁路轮渡栈桥旧址,长江; 江面; 秋日阳光
中山北路; 下关火车主题公园,风; 梧桐叶; 长江; 波光粼粼; 夕阳; 温度变化
中山码头; 浦口码头,
南京长江大桥; 南堡公园; 中山码头; 浦口火车站; 玻璃栈道,长江; 江面; 水; 鱼; 沙滩
浦口火车站; 南京北站; 中山码头; 天桥; 新马路; 大喜馄饨,
大桥南堡公园,
江豚广场,
浦口码头,
玻璃栈道,水面; 杂草; 晚霞; 光板天（天气）
金川河; 长江大桥,金川河; 长江
下关铁路轮渡栈桥旧址; 南京西站; 下关火车主题公园,长江; 江面; 风; 阳光
中山码头; 江豚观赏点; 下关火车公园; 玻璃栈桥,长江; 江面; 江豚; 日落; 晚霞; 晚风
浦口火车站,
玻璃栈道; 南堡公园; 长江大桥,长江; 日落; 江边
浦口火车站近代建筑风貌区; 津浦路; 浦口火车站历史文化街区P3停车场; 浦口站旧址建筑; 大马路拱门; 绿皮火车; 旋转楼梯; 江北图书馆书店; 气味艺术家; 银婴; 旧物仓; 扬子江生态公园市集; 扬子江公园; 浦口公园,
浦口火车站,
南京长江大桥; 南堡公园,长江
幕燕滨江风光带,长江; 江面; 风
中山码头; 民国首都电厂旧址; 下关火车主题公园; 江豚书屋; 江豚观赏地; 鼓楼滨江欢乐舞台,长江; 江豚
,
大马路; 下关电厂; 天保里; 天祥里; 天安里; 天光里; 天主教堂旧址,夕阳/黄昏
青岛四方机车公园,
下关滨江; 中山码头; 红云桥; 江豚城市公园,长江; 江面; 江豚; 黑鸢; 白鹭; 波纹; 阳光
江豚观赏地,长江; 天气
铁路轮渡旧址,
中山码头; 扬子江生态园,
中山码头; 浦口火车站,长江; 江面; 天空
民国首都电厂旧址公园; 铁路轮渡栈桥旧址; 下关火车主题公园; 南京博物院; 鸡鸣寺; 南京大牌档; 滨江希尔顿,樱花
民国中央医院旧址; 东部战区总医院,
下关火车主题园,
长江边,长江; 风
中山码头; 浦口码头; 大桥南堡公园; 玻璃栈道,日落; 江山夜景
下关火车主题公园; 长江大桥; 1912街区,长江
中山码头,
下关,风
下关火车主题公园; 中山码头,长江; 落日; 天空
民国首都电厂旧址公园; 中山码头,日落; 夕阳
南京长江大桥玻璃栈道; 下关火车主题园,长江; 江面; 夕阳
中山码头,天空; 阴天
宋晟墓; 方孝儒墓; 徐达墓; 高座寺; 雨花台,花卉
浦口码头; 下关码头,江; 礁石; 涨潮
南京鼓楼滨江风光带; 揽江台,长江; 百年法桐
南京长江大桥; 玻璃栈道,长江; 风; 天空
夕Space落日餐厅,长江; 落日; 江面; 风; 江鸥
,
下关火车主题公园; 铁路轮渡旧址; 南京西站; 玻璃栈道; 大桥南堡公园; 浦口火车站; 长江大桥,江面; 风
金象城; 长江大桥玻璃栈道; 下关西火车主题园; 栈桥旧址; 民国海军医院旧址; 江边路; 欢乐舞台; 大马路; 江豚书屋; 首都电厂旧址; 中山码头,长江; 天空
中山码头; 浦口火车站,
中山码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车主题公园; 南京长江大桥,长江; 落日; 秋日江景
浦口火车站,
浦口火车站,
南京南堡公园,长江; 江面; 落日; 天空; 风
,
太平南路76巷民国建筑群; 西白菜园; 首都电话局旧址; 中华书局旧址; 基督教圣保罗教堂; 中南银行旧址; 慧园里民国建筑群; 上海商业银行旧址,梧桐树
,
中山码头; 浦口码头,风; 天气
长江大桥,长江
中山码头; 下关火车公园,阴雨天气
下关滨江,长江; 江面
中山码头; 浦口老火车站; 鼓楼滨江风光带; 滨江风光带,长江; 江水; 落日; 天空; 江豚; 树木
,
上元门,
,长江
颐和路; 先锋书店颐和书馆; 路标手绘墙; 歪脖子树; 12号奶茶店; 紫峰大厦; 西桥,老宅; 晚上18:30蓝调时刻
浦口火车站,
南京长江大桥,长江; 夕阳; 夜晚灯光倒映在江面上
浦口火车站,
无法判断,无法判断
下关火车主题公园; 中山码头,芦苇荡; 江风
长江大桥; 大桥南堡公园,长江
长江,长江; 江水; 波浪
,
中山码头; 下关历史陈列馆; 民国海军医院旧址; 栈桥旧址; 长江大桥玻璃栈道; 浦口码头,
浦口火车站,
下关火车主题公园; 铁路轮渡栈桥旧址; 大马路; 中山码头; 浦口码头; 南京北站; 长江大桥,长江; 夕阳
南京长江大桥,朝霞; 长江
栖霞山北站; 孤树村站; 栖霞站; 栖霞山站; 栖霞山南站; 浦口火车站; 摄山营; 炮楼,
长江大桥玻璃栈道; 南堡公园; 下关火车主题公园,长江; 晚霞; 夜景; 水面
浦口码头,
江边路; 下关码头; 民国首都电厂旧址公园; 梧桐语自然体验中心,
浦口火车站; 中山码头; 浦口码头,
南京长江大桥; 大桥南堡公园; 玻璃栈道,长江
下关火车主题公园; 民国首都电厂旧址公园; 江豚观赏地; 中山码头; 长江大桥,长江
长江大桥; 大桥南堡公园; 玻璃栈道,长江; 江面
滨江江边路; 长江大桥,江风; 长江
长江大桥; 幕府山,长江; 幕府山; 江堤
江豚观赏地; 中山码头; 浦口码头,长江; 江豚
浦口火车站,
民国海军医院旧址,
,
南京长江大桥; 南堡公园; 玻璃栈道; 桥头堡; 亲水圆环栈道,长江; 江边风光
江边,阳光; 温度; 风; 江边景观
浦口码头; 中山码头; 阅江楼; 江豚观赏地; 铁路轮渡旧址; 下关火车公园; 南京长江大桥玻璃栈道; 长江大桥,长江; 江面; 江风; 山脉; 树木; 秦淮河
浦口火车站; 南京西站; 中山码头; 北桥头堡,长江; 扬子江; 百舸争流
,
南京民国首都电厂旧址公园; 中山码头; 浦口火车站,长江; 江豚
中山码头; 浦口码头,长江; 落日; 橘子海
中山码头; 浦口码头; 南京北站; 扬子江生态公园; 浦口公园,长江; 江风; 货船; 天气
浦口码头,
中山码头; 浦口码头; 南京北站,长江; 日落
下关滨江,长江; 江面; 落日; 天空
,
南京长江大桥,日落; 长江
中山码头; 民国首都电厂旧址; 下关火车主题公园; 南京长江大桥,夕阳; 长江
